"",0,0,0,0,0
"Club",             0,      3,      300,    0,      0
"Clothing",         2,      0,      3,      0,      0
"Weathered Sword",  0,      2,      200,    0,      0
"Padded Armor",     2,      1,      100,    0,      0
"Curative Herbs",   -1,     0,      4,      1,      3
"Krog Guts",        -1,     0,      2,      2,      1
"Krog Tooth",       -1,     0,      6,      0,      0
"Krog Skin",        -1,     0,      10,     0,      0
"Bread",            -1,     0,      2,      3,      3
"Short Sword",      0,      5,      1000,   0,      0
"Wooden Shield",    1,      1,      200,    0,      0
"Leather Armor",    2,      3,      800,    0,      0
"Ale",              -1,     0,      1,      3,      1
